Date,Price,Open,High,Low,Vol.,Change %
8-Apr-17,"8,016.10","8,202.80","8,254.80","7,769.10",0.03K,-2.28%
7-Apr-17,"8,202.80","8,135.60","8,249.00","7,769.40",0.07K,0.83%
6-Apr-17,"8,135.60","7,675.20","8,169.20","7,640.30",0.08K,6.00%
5-Apr-17,"7,675.20","7,818.40","8,058.10","7,598.30",0.04K,-1.83%
4-Apr-17,"7,818.40","7,944.20","8,071.40","7,618.10",0.06K,-1.58%
3-Apr-17,"7,944.20","7,499.50","8,065.80","7,383.90",0.21K,5.93%
2-Apr-17,"7,499.50","7,440.20","7,732.50","7,308.10",0.04K,0.80%
1-Apr-17,"7,440.20","7,449.20","7,732.50","7,092.90",0.06K,-0.12%
31-Mar-17,"7,449.20","7,091.90","7,534.50","6,647.70",0.14K,5.04%
30-Mar-17,"7,091.90","7,161.60","7,238.10","7,008.90",0.13K,-0.97%
29-Mar-17,"7,161.60","7,091.90","7,888.30","6,965.00",0.09K,0.98%
28-Mar-17,"7,091.90","7,322.60","7,933.50","6,724.70",0.04K,-3.15%
27-Mar-17,"7,322.60","6,648.50","7,322.60","6,517.60",0.13K,10.14%
26-Mar-17,"6,648.50","6,564.30","6,867.40","6,215.10",0.05K,1.28%
25-Mar-17,"6,564.30","7,075.60","7,179.20","6,210.00",0.09K,-7.23%
24-Mar-17,"7,075.60","7,109.20","7,354.80","6,568.40",0.09K,-0.47%
23-Mar-17,"7,109.20","7,614.70","7,895.70","6,953.20",0.12K,-8.83%
22-Mar-17,"7,798.00","7,670.80","7,901.90","6,952.80",0.06K,1.66%
21-Mar-17,"7,670.80","7,237.50","7,892.20","7,060.20",0.10K,5.99%
20-Mar-17,"7,237.50","7,596.00","7,753.60","6,836.60",0.11K,-4.72%
19-Mar-17,"7,596.00","7,274.50","8,139.30","6,830.40",0.03K,-3.44%
18-Mar-17,"7,866.60","7,817.60","8,572.70","6,934.50",0.00K,0.63%
17-Mar-17,"7,817.60","8,041.70","8,875.90","7,729.80",0.19K,-2.79%
16-Mar-17,"8,041.70","8,691.40","8,893.40","8,038.60",0.08K,-7.48%
15-Mar-17,"8,691.40","8,678.80","9,167.50","8,503.70",0.08K,0.15%
14-Mar-17,"8,678.80","8,491.80","8,798.70","8,455.10",0.04K,2.20%
13-Mar-17,"8,491.80","8,329.90","8,791.90","7,983.90",0.10K,1.94%
12-Mar-17,"8,329.90","8,095.10","8,450.10","7,969.40",0.02K,2.90%
11-Mar-17,"8,095.10","7,598.50","8,927.80","7,394.80",0.07K,6.53%
10-Mar-17,"7,598.50","8,686.80","8,937.30","7,362.30",0.15K,-12.53%
9-Mar-17,"8,686.80","7,907.40","8,707.70","7,577.00",0.22K,9.86%
8-Mar-17,"7,907.40","8,526.80","8,857.10","7,907.40",0.22K,-7.26%
7-Mar-17,"8,526.80","8,965.20","8,972.30","8,399.00",0.09K,-4.89%
6-Mar-17,"8,965.20","8,609.80","8,969.20","8,133.30",0.07K,1.09%
5-Mar-17,"8,868.50","8,714.90","8,916.10","8,510.60",0.02K,1.76%
4-Mar-17,"8,714.90","8,862.10","8,942.50","8,207.90",0.04K,-1.66%
3-Mar-17,"8,862.10","8,610.70","8,950.40","8,184.70",0.08K,2.92%
2-Mar-17,"8,610.70","8,314.10","8,733.40","7,994.20",0.15K,3.57%
1-Mar-17,"8,314.10","8,187.10","8,332.20","7,558.90",0.14K,1.55%
28-Feb-17,"8,187.10","8,124.00","8,644.70","7,997.00",0.09K,0.78%
27-Feb-17,"8,124.00","8,090.20","8,177.50","7,908.60",0.05K,0.42%
26-Feb-17,"8,090.20","7,288.70","8,164.00","7,282.50",0.00K,11.00%
25-Feb-17,"7,288.70","8,109.30","8,587.10","7,288.70",0.05K,-10.12%
24-Feb-17,"8,109.30","7,912.90","8,711.10","7,529.60",0.26K,2.48%
23-Feb-17,"7,912.90","7,702.20","7,976.70","7,067.10",0.09K,2.73%
22-Feb-17,"7,702.20","7,672.10","7,757.20","7,057.70",0.06K,0.39%
21-Feb-17,"7,672.10","7,422.90","7,727.70","7,169.00",0.11K,3.36%
20-Feb-17,"7,422.90","7,281.80","7,423.90","7,137.50",0.06K,1.94%
19-Feb-17,"7,281.80","7,253.50","7,339.10","7,152.50",0.01K,0.39%
18-Feb-17,"7,253.50","7,276.80","7,316.70","7,109.40",0.01K,-0.32%
17-Feb-17,"7,276.80","7,126.10","7,322.00","6,922.10",0.07K,2.11%
16-Feb-17,"7,126.10","6,918.30","7,165.10","6,861.60",0.07K,3.00%
15-Feb-17,"6,918.30","6,816.30","7,002.60","6,806.60",0.01K,1.50%
14-Feb-17,"6,816.30","6,881.60","7,218.40","6,320.70",0.02K,-0.95%
