Date,Price,Open,High,Low,Vol.,Change %
10-Apr-17,"132,315","131,130","137,101","125,000",0.22K,0.90%
9-Apr-17,"131,130","128,973","133,719","128,198",0.07K,1.67%
8-Apr-17,"128,973","131,877","132,814","121,165",0.03K,-2.27%
7-Apr-17,"131,974","130,836","132,751","121,165",0.07K,0.87%
6-Apr-17,"130,836","122,931","131,273","122,352",0.08K,6.43%
5-Apr-17,"122,931","125,909","129,622","122,086",0.04K,-2.37%
4-Apr-17,"125,909","127,783","129,700","121,753",0.06K,-1.47%
3-Apr-17,"127,783","121,269","129,853","119,369",0.21K,5.37%
2-Apr-17,"121,269","120,274","122,304","119,129",0.04K,0.90%
1-Apr-17,"120,185","120,420","125,000","114,646",0.06K,-0.20%
31-Mar-17,"120,420","115,078","121,796","108,000",0.14K,4.64%
30-Mar-17,"115,078","115,506","117,074","113,071",0.13K,-0.37%
29-Mar-17,"115,506","114,658","118,518","112,336",0.09K,0.74%
28-Mar-17,"114,658","118,017","127,059","107,633",0.04K,-2.85%
27-Mar-17,"118,017","107,145","118,017","104,678",0.13K,10.15%
26-Mar-17,"107,145","106,178","111,136","100,529",0.05K,0.91%
25-Mar-17,"106,178","114,536","114,536","100,518",0.09K,-7.30%
24-Mar-17,"114,536","114,611","118,784","106,326",0.09K,-0.07%
23-Mar-17,"114,611","123,251","127,777","113,536",0.12K,-6.72%
22-Mar-17,"122,865","124,226","127,946","112,372",0.03K,-1.10%
21-Mar-17,"124,226","117,932","128,281","114,663",0.10K,5.34%
20-Mar-17,"117,932","123,983","126,501","111,704",0.11K,-4.88%
19-Mar-17,"123,983","118,881","137,684","111,591",0.03K,4.29%
18-Mar-17,"118,881","127,732","137,955","113,341",0.05K,-6.93%
17-Mar-17,"127,732","132,078","145,908","126,760",0.19K,-3.29%
16-Mar-17,"132,078","142,555","145,996","132,051",0.08K,-7.35%
15-Mar-17,"142,555","143,935","152,097","141,107",0.08K,-0.96%
14-Mar-17,"143,935","141,174","146,139","139,659",0.04K,1.96%
13-Mar-17,"141,174","139,310","146,424","133,511",0.10K,1.34%
12-Mar-17,"139,310","134,522","141,149","133,116",0.02K,3.56%
11-Mar-17,"134,522","126,281","149,242","123,985",0.07K,6.53%
10-Mar-17,"126,281","144,758","149,029","122,193",0.15K,-12.76%
9-Mar-17,"144,758","130,884","144,758","126,264",0.22K,10.60%
8-Mar-17,"130,884","140,775","146,659","130,884",0.22K,-7.03%
7-Mar-17,"140,775","148,097","148,334","138,723",0.09K,-4.94%
6-Mar-17,"148,097","146,435","148,192","135,216",0.07K,4.18%
5-Mar-17,"142,160","144,144","147,472","140,725",0.00K,-1.38%
4-Mar-17,"144,144","146,572","147,902","135,758",0.04K,-1.66%
3-Mar-17,"146,572","142,931","148,451","135,675",0.08K,2.55%
2-Mar-17,"142,931","137,788","145,018","132,404",0.15K,3.73%
1-Mar-17,"137,788","134,747","137,788","124,773",0.14K,2.26%
28-Feb-17,"134,747","133,308","136,911","130,456",0.09K,1.08%
27-Feb-17,"133,308","131,550","134,078","129,348",0.05K,1.34%
