Date,Price,Open,High,Low,Vol.,Change %
14-Oct-17,"4,317.20","4,218.72","4,338.46","3,899.88",0.01K,2.33%
13-Oct-17,"4,218.72","4,055.43","4,418.59","3,590.09",0.08K,4.03%
12-Oct-17,"4,055.43","3,598.65","4,085.10","3,512.13",0.13K,12.69%
11-Oct-17,"3,598.65","3,567.72","3,918.13","3,524.43",0.06K,0.87%
10-Oct-17,"3,567.72","3,521.42","3,663.61","3,435.60",0.06K,1.63%
9-Oct-17,"3,510.35","3,413.54","3,645.88","3,358.47",0.04K,2.84%
8-Oct-17,"3,413.54","3,362.13","3,490.20","3,323.86",0.03K,1.53%
7-Oct-17,"3,362.13","3,312.66","3,362.50","3,264.45",0.01K,1.49%
6-Oct-17,"3,312.66","3,317.74","3,364.86","3,177.27",0.04K,-0.15%
5-Oct-17,"3,317.74","3,218.35","3,318.08","3,143.14",0.05K,3.09%
4-Oct-17,"3,218.35","3,266.52","3,287.75","3,154.61",0.04K,-1.47%
3-Oct-17,"3,266.52","3,266.26","3,303.92","3,199.36",0.03K,0.01%
2-Oct-17,"3,266.26","3,235.91","3,298.95","3,147.69",0.03K,0.94%
1-Oct-17,"3,235.91","3,243.93","3,248.62","3,114.94",0.02K,-0.25%
30-Sep-17,"3,243.93","3,119.97","3,248.71","3,000.66",0.06K,3.97%
29-Sep-17,"3,119.97","3,114.87","3,200.26","3,002.13",0.08K,0.16%
28-Sep-17,"3,114.87","3,152.96","3,178.53","2,913.94",0.05K,-1.21%
27-Sep-17,"3,152.96","2,878.68","3,154.59","2,874.53",0.11K,9.53%
26-Sep-17,"2,878.68","2,877.47","2,980.91","2,659.73",0.10K,0.04%
25-Sep-17,"2,877.47","2,728.93","2,948.79","2,610.33",0.09K,5.44%
24-Sep-17,"2,728.93","2,755.24","2,789.53","2,657.65",0.01K,-0.95%
23-Sep-17,"2,755.24","2,609.35","2,799.12","2,596.65",0.02K,5.59%
22-Sep-17,"2,609.35","2,722.90","3,005.48","2,590.53",0.08K,-4.17%
21-Sep-17,"2,722.90","2,888.69","2,964.32","2,636.00",0.10K,-5.74%
20-Sep-17,"2,888.69","2,891.77","3,004.37","2,692.29",0.10K,-0.11%
19-Sep-17,"2,891.77","3,018.44","3,085.46","2,626.72",0.09K,-4.20%
18-Sep-17,"3,018.44","2,672.77","3,079.02","2,586.58",0.15K,12.93%
17-Sep-17,"2,672.77","2,796.43","3,011.44","2,586.95",0.08K,-4.42%
16-Sep-17,"2,796.43","2,729.62","3,058.11","2,126.83",0.14K,2.45%
15-Sep-17,"2,729.62","2,328.22","2,948.49","2,046.36",0.35K,17.24%
14-Sep-17,"2,328.22","3,008.62","3,143.83","2,312.46",0.32K,-22.62%
13-Sep-17,"3,008.62","3,062.38","3,269.44","2,831.23",0.20K,-1.76%
12-Sep-17,"3,062.38","3,158.34","3,302.40","2,983.82",0.16K,-3.04%
11-Sep-17,"3,158.34","2,978.67","3,262.74","2,958.85",0.11K,6.03%
10-Sep-17,"2,978.67","3,112.90","3,295.99","2,976.82",0.10K,-4.31%
9-Sep-17,"3,112.90","3,151.41","3,576.12","3,102.93",0.09K,-1.22%
8-Sep-17,"3,151.41","3,561.16","3,813.94","3,101.22",0.31K,-11.51%
7-Sep-17,"3,561.16","3,510.16","3,802.77","3,433.52",0.09K,1.45%
6-Sep-17,"3,510.16","3,427.29","3,620.48","3,063.26",0.21K,2.42%
5-Sep-17,"3,427.29","3,258.99","3,687.02","3,062.37",0.18K,5.16%
4-Sep-17,"3,258.99","3,576.90","3,755.21","3,162.39",0.13K,-8.89%
3-Sep-17,"3,576.90","3,496.05","3,935.84","3,436.29",0.08K,2.31%
2-Sep-17,"3,496.05","3,797.98","3,934.32","3,490.52",0.09K,-7.95%
1-Sep-17,"3,797.98","3,667.23","3,862.65","3,513.64",0.10K,3.57%
31-Aug-17,"3,667.23","3,542.63","3,720.58","3,346.93",0.04K,3.52%
30-Aug-17,"3,542.63","3,550.00","3,666.47","3,349.22",0.04K,-0.21%
29-Aug-17,"3,550.00","3,398.48","3,647.44","3,242.80",0.05K,4.46%
28-Aug-17,"3,398.48","3,329.03","3,430.36","3,255.41",0.03K,2.09%
27-Aug-17,"3,329.03","3,653.97","3,653.97","3,311.75",0.01K,-8.89%
26-Aug-17,"3,653.97","3,391.22","3,683.03","3,295.26",0.03K,7.75%
25-Aug-17,"3,391.22","3,340.19","3,478.54","3,223.04",0.07K,1.53%
24-Aug-17,"3,340.19","3,251.32","3,365.82","3,190.65",0.04K,2.73%
23-Aug-17,"3,251.32","3,169.29","3,491.65","2,943.75",0.04K,2.59%
22-Aug-17,"3,169.29","3,160.39","3,288.17","2,930.68",0.17K,1.17%
21-Aug-17,"3,132.67","3,246.92","3,267.90","3,131.53",0.10K,-3.52%
20-Aug-17,"3,246.92","3,179.68","3,260.04","3,061.86",0.07K,2.11%
19-Aug-17,"3,179.68","3,379.20","3,444.51","3,045.07",0.07K,0.09%
18-Aug-17,"3,176.75","3,342.28","3,769.44","3,146.31",0.07K,-4.95%
17-Aug-17,"3,342.28","3,344.41","3,750.45","3,119.42",0.08K,-0.06%
16-Aug-17,"3,344.41","3,211.20","3,458.99","2,972.98",0.07K,4.15%
15-Aug-17,"3,211.20","3,261.58","3,461.36","2,922.93",0.09K,-1.54%
14-Aug-17,"3,261.58","2,990.08","3,467.09","2,933.17",0.07K,9.08%
13-Aug-17,"2,990.08","2,881.95","3,243.19","2,780.33",0.05K,3.75%
12-Aug-17,"2,881.95","2,869.97","3,028.42","2,605.03",0.06K,0.42%
11-Aug-17,"2,869.97","2,636.27","2,869.97","2,577.63",0.08K,8.86%
10-Aug-17,"2,636.27","2,643.89","2,662.47","2,517.43",0.03K,-0.29%
9-Aug-17,"2,643.89","2,655.78","2,698.03","2,520.22",0.05K,-0.45%
8-Aug-17,"2,655.78","2,619.37","2,701.67","2,331.87",0.07K,1.39%
7-Aug-17,"2,619.37","2,311.94","2,675.15","2,236.93",1.21K,13.30%
6-Aug-17,"2,311.94","2,285.19","2,311.94","2,204.58",0.10K,1.17%
5-Aug-17,"2,285.19","2,178.04","2,299.08","2,135.01",0.23K,4.92%
4-Aug-17,"2,178.04","2,111.91","2,199.84","2,062.64",0.14K,3.13%
3-Aug-17,"2,111.91","2,088.32","2,142.41","2,025.42",0.09K,1.13%
2-Aug-17,"2,088.32","2,160.48","2,251.91","2,024.54",0.04K,-3.34%
1-Aug-17,"2,160.48","2,162.38","2,163.35","2,026.08",0.00K,-0.09%
31-Jul-17,"2,162.38","2,055.79","2,178.96","2,023.72",0.00K,5.18%
30-Jul-17,"2,055.79","2,025.15","2,099.61","1,861.77",0.09K,1.51%
29-Jul-17,"2,025.15","2,111.59","2,138.76","1,862.15",0.04K,-4.09%
28-Jul-17,"2,111.59","2,022.68","2,125.11","1,907.10",0.54K,4.40%
27-Jul-17,"2,022.68","1,882.30","2,023.38","1,871.07",0.17K,7.46%
26-Jul-17,"1,882.30","1,949.70","2,123.46","1,857.30",0.05K,-3.46%
25-Jul-17,"1,949.70","2,092.76","2,126.87","1,860.47",0.08K,-6.84%
24-Jul-17,"2,092.76","2,053.48","2,119.69","1,951.77",0.05K,1.91%
23-Jul-17,"2,053.48","2,034.15","2,104.82","1,945.88",0.02K,0.95%
22-Jul-17,"2,034.15","2,006.93","2,104.25","1,957.77",0.02K,1.36%
21-Jul-17,"2,006.93","2,082.24","2,169.19","1,660.34",0.07K,-3.62%
20-Jul-17,"2,082.24","1,757.77","2,167.63","1,651.25",0.17K,18.46%
19-Jul-17,"1,757.77","1,711.18","1,820.90","1,646.02",0.04K,-2.26%
18-Jul-17,"1,798.39","1,670.17","1,841.23","1,475.50",0.10K,7.68%
17-Jul-17,"1,670.17","1,419.14","1,677.31","1,407.88",0.13K,17.69%
16-Jul-17,"1,419.14","1,566.96","1,736.95","1,407.42",0.11K,-9.43%
15-Jul-17,"1,566.96","1,733.43","1,909.06","1,566.96",0.14K,-9.60%
14-Jul-17,"1,733.43","1,915.53","1,938.04","1,722.32",0.06K,-9.51%
13-Jul-17,"1,915.53","1,926.63","1,945.45","1,798.00",0.07K,-0.58%
12-Jul-17,"1,926.78","1,841.79","2,027.01","1,821.18",0.04K,4.61%
11-Jul-17,"1,841.79","1,863.47","2,051.52","1,830.41",0.12K,-1.16%
10-Jul-17,"1,863.47","1,986.55","2,057.96","1,863.47",0.08K,-6.20%
9-Jul-17,"1,986.55","2,015.08","2,056.96","1,983.93",0.05K,-1.42%
8-Jul-17,"2,015.08","1,996.63","2,076.20","1,984.59",0.02K,0.92%
7-Jul-17,"1,996.63","2,020.00","2,092.82","1,988.01",0.04K,-1.16%
6-Jul-17,"2,020.00","2,088.27","2,127.43","1,996.52",0.03K,-1.14%
5-Jul-17,"2,043.28","2,069.20","2,143.32","1,997.95",0.03K,1.08%
4-Jul-17,"2,021.47","2,016.74","2,141.90","1,939.24",0.06K,0.23%
3-Jul-17,"2,016.74","1,948.40","2,086.75","1,870.30",0.07K,3.51%
2-Jul-17,"1,948.40","1,941.72","2,048.92","1,846.54",0.03K,0.34%
1-Jul-17,"1,941.72","1,966.32","2,048.69","1,792.10",0.03K,1.28%
30-Jun-17,"1,917.17","1,969.24","2,031.66","1,870.55",0.18K,-2.64%
29-Jun-17,"1,969.24","2,004.69","2,061.38","1,913.29",0.10K,-1.77%
28-Jun-17,"2,004.69","1,995.81","2,053.01","1,853.33",0.06K,0.45%
27-Jun-17,"1,995.81","1,970.93","2,161.42","1,857.63",0.12K,1.26%
26-Jun-17,"1,970.93","2,022.55","2,241.94","1,947.72",0.10K,-2.55%
25-Jun-17,"2,022.55","2,066.32","2,247.83","2,012.10",0.02K,-2.12%
24-Jun-17,"2,066.32","2,197.98","2,225.63","2,066.32",0.04K,-5.99%
23-Jun-17,"2,197.98","2,145.27","2,225.63","2,129.27",0.08K,1.07%
22-Jun-17,"2,174.68","2,151.02","2,227.54","2,089.70",0.11K,2.38%
21-Jun-17,"2,124.18","2,157.18","2,227.96","2,090.04",0.11K,-1.53%
20-Jun-17,"2,157.18","2,103.65","2,223.91","2,021.87",0.07K,2.54%
19-Jun-17,"2,103.65","1,936.84","2,114.83","1,932.70",0.05K,8.61%
18-Jun-17,"1,936.84","2,056.87","2,267.32","1,936.79",0.03K,-5.84%
17-Jun-17,"2,056.87","1,972.46","2,268.20","1,840.46",0.06K,4.28%
16-Jun-17,"1,972.46","1,909.35","2,238.39","1,710.19",0.07K,-2.10%
15-Jun-17,"2,014.87","2,210.46","2,386.79","1,711.09",0.03K,-8.85%
